accession	phylum	class	species
GB_GCA_937975995	Methanobacteriota	Methanobacteria	Methanocatella sp900766745
RS_GCF_945645595	Methanobacteriota	Methanobacteria	Methanocatella sp900769095
RS_GCF_902764455	Methanobacteriota	Methanobacteria	Methanocatella sp902764455
RS_GCF_017519255	Methanobacteriota	Methanobacteria	Methanocatella sp902770715
RS_GCF_902774605	Methanobacteriota	Methanobacteria	Methanocatella sp902774605
RS_GCF_902785855	Methanobacteriota	Methanobacteria	Methanocatella sp902785855
RS_GCF_902788255	Methanobacteriota	Methanobacteria	Methanocatella sp902788255
RS_GCF_902801725	Methanobacteriota	Methanobacteria	Methanocatella sp902801725
RS_GCF_934746965	Methanobacteriota	Methanobacteria	Methanocatella sp934746965
RS_GCF_946184425	Methanobacteriota	Methanobacteria	Methanocatella sp946184425
RS_GCF_036307705	Methanobacteriota	Methanobacteria	Methanocatella sp946404245
RS_GCF_947166415	Methanobacteriota	Methanobacteria	Methanocatella sp947166415
RS_GCF_947169325	Methanobacteriota	Methanobacteria	Methanocatella sp947169325
RS_GCF_963082495	Methanobacteriota	Methanobacteria	Methanocatella sp963082495
GB_GCA_963606955	Methanobacteriota	Methanobacteria	Methanocatella sp963606955
RS_GCF_003111625	Methanobacteriota	Methanobacteria	Methanocatella thaueri
RS_GCF_015062915	Methanobacteriota	Methanobacteria	Methanocatella thaueri_B
RS_GCF_902406285	Methanobacteriota	Methanobacteria	Methanocatella woesei
RS_GCF_000063445	Halobacteriota	Methanocellia	Methanocella_A arvoryzae
GB_GCA_002067315	Halobacteriota	Methanocellia	Methanocella_A sp002067315
RS_GCF_000251105	Halobacteriota	Methanocellia	Methanocella conradii
RS_GCF_000011005	Halobacteriota	Methanocellia	Methanocella paludicola
RS_GCF_035506375	Halobacteriota	Methanocellia	Methanocella sp035506375
RS_GCF_031454185	Halobacteriota	Methanosarcinia	Methanococcoides alaskense
RS_GCF_000013725	Halobacteriota	Methanosarcinia	Methanococcoides burtonii
RS_GCF_900773915	Halobacteriota	Methanosarcinia	Methanococcoides methylutens
RS_GCF_000970325	Halobacteriota	Methanosarcinia	Methanococcoides methylutens_A
RS_GCF_021184045	Halobacteriota	Methanosarcinia	Methanococcoides orientis
RS_GCF_023684405	Halobacteriota	Methanosarcinia	Methanococcoides seepicolus
GB_GCA_021108185	Halobacteriota	Methanosarcinia	Methanococcoides sp021108185
GB_GCA_021108275	Halobacteriota	Methanosarcinia	Methanococcoides sp021108275
RS_GCF_038432375	Halobacteriota	Methanosarcinia	Methanococcoides sp038432375
RS_GCF_900774055	Halobacteriota	Methanosarcinia	Methanococcoides sp900774055
GB_GCA_963676195	Halobacteriota	Methanosarcinia	Methanococcoides sp963676195
RS_GCF_900773955	Halobacteriota	Methanosarcinia	Methanococcoides vulcani
RS_GCF_040362185	Methanobacteriota	Methanococci	Methanococcus maripaludis
RS_GCF_013760955	Methanobacteriota	Methanococci	Methanococcus maripaludis_A
RS_GCF_000016125	Methanobacteriota	Methanococci	Methanococcus maripaludis_D
RS_GCF_000017165	Methanobacteriota	Methanococci	Methanococcus vannielii
RS_GCF_024807035	Methanobacteriota	Methanococci	Methanococcus voltae
RS_GCF_017875395	Methanobacteriota	Methanococci	Methanococcus voltae_C
RS_GCF_024807655	Methanobacteriota	Methanococci	Methanococcus voltae_D
GB_GCA_014237495	Halobacteriota	Methanosarcinia	Methanocomedens sp014237145
GB_GCA_030610815	Halobacteriota	Methanosarcinia	Methanocomedens sp030610815
GB_GCA_944322135	Halobacteriota	Methanomicrobia	Methanocorpusculum faecipullorum
RS_GCF_032714615	Halobacteriota	Methanomicrobia	Methanocorpusculum furvi
RS_GCF_000015765	Halobacteriota	Methanomicrobia	Methanocorpusculum labreanum
RS_GCF_034933645	Halobacteriota	Methanomicrobia	Methanocorpusculum parvum
RS_GCF_026891975	Halobacteriota	Methanomicrobia	Methanocorpusculum petauri
RS_GCF_032714495	Halobacteriota	Methanomicrobia	Methanocorpusculum rubei
GB_GCA_002498375	Halobacteriota	Methanomicrobia	Methanocorpusculum sp002498375
GB_GCA_002506085	Halobacteriota	Methanomicrobia	Methanocorpusculum sp002506085
GB_GCA_017399555	Halobacteriota	Methanomicrobia	Methanocorpusculum sp017399555
GB_GCA_017408885	Halobacteriota	Methanomicrobia	Methanocorpusculum sp017408885
GB_GCA_023396065	Halobacteriota	Methanomicrobia	Methanocorpusculum sp023396065
RS_GCF_030655665	Halobacteriota	Methanomicrobia	Methanocorpusculum sp030655665
RS_GCF_963667985	Halobacteriota	Methanomicrobia	Methanocorpusculum sp963667985
GB_GCA_963676575	Halobacteriota	Methanomicrobia	Methanocorpusculum sp963676575
GB_GCA_963677995	Halobacteriota	Methanomicrobia	Methanocorpusculum sp963677995
RS_GCF_026891935	Halobacteriota	Methanomicrobia	Methanocorpusculum vombati
RS_GCF_029167205	Halobacteriota	Methanosarcinia	Methanocrinis alkalitolerans
GB_GCA_002503085	Halobacteriota	Methanosarcinia	Methanocrinis harundinacea_A
GB_GCA_002506535	Halobacteriota	Methanosarcinia	Methanocrinis harundinacea_B
GB_GCA_018434005	Halobacteriota	Methanosarcinia	Methanocrinis harundinacea_D
RS_GCF_000235565	Halobacteriota	Methanosarcinia	Methanocrinis harundinaceus
RS_GCF_029167045	Halobacteriota	Methanosarcinia	Methanocrinis natronophilus
GB_GCA_022840035	Halobacteriota	Methanosarcinia	Methanocrinis sp001602645
GB_GCA_035380685	Halobacteriota	Methanosarcinia	Methanocrinis sp035380685
GB_GCA_040770465	Halobacteriota	Methanosarcinia	Methanocrinis sp040770465
RS_GCF_030464345	Halobacteriota	Methanomicrobia	Methanoculleus_A frigidifontis
RS_GCF_004102725	Halobacteriota	Methanomicrobia	Methanoculleus_A taiwanensis
RS_GCF_018495055	Halobacteriota	Methanomicrobia	Methanoculleus bourgensis
RS_GCF_032842345	Halobacteriota	Methanomicrobia	Methanoculleus caldifontis
RS_GCF_019669965	Halobacteriota	Methanomicrobia	Methanoculleus chikugoensis
RS_GCF_900095385	Halobacteriota	Methanomicrobia	Methanoculleus chikugoensis_A
RS_GCF_025384765	Halobacteriota	Methanomicrobia	Methanoculleus formosensis
RS_GCF_001602375	Halobacteriota	Methanomicrobia	Methanoculleus horonobensis
RS_GCF_025914035	Halobacteriota	Methanomicrobia	Methanoculleus marisnigri
GB_GCA_002503885	Halobacteriota	Methanomicrobia	Methanoculleus marisnigri_B
RS_GCF_030464365	Halobacteriota	Methanomicrobia	Methanoculleus methanifontis
RS_GCF_032944295	Halobacteriota	Methanomicrobia	Methanoculleus nereidis
RS_GCF_023702065	Halobacteriota	Methanomicrobia	Methanoculleus oceani
RS_GCF_033472595	Halobacteriota	Methanomicrobia	Methanoculleus receptaculi
RS_GCF_001017125	Halobacteriota	Methanomicrobia	Methanoculleus sediminis
RS_GCF_000691865	Halobacteriota	Methanomicrobia	Methanoculleus sp000691865
RS_GCF_035417485	Halobacteriota	Methanomicrobia	Methanoculleus sp001896715
RS_GCF_030627555	Halobacteriota	Methanomicrobia	Methanoculleus sp002498065
GB_GCA_021371835	Halobacteriota	Methanomicrobia	Methanoculleus sp002501655
RS_GCF_028705395	Halobacteriota	Methanomicrobia	Methanoculleus sp002506585
RS_GCF_002499755	Halobacteriota	Methanomicrobia	Methanoculleus sp002508705
GB_GCA_002839645	Halobacteriota	Methanomicrobia	Methanoculleus sp002839645
GB_GCA_041655575	Halobacteriota	Methanomicrobia	Methanoculleus sp012510295
GB_GCA_033808455	Halobacteriota	Methanomicrobia	Methanoculleus sp012797575
GB_GCA_016841385	Halobacteriota	Methanomicrobia	Methanoculleus sp016841385
GB_GCA_016841295	Halobacteriota	Methanomicrobia	Methanoculleus sp016841955
RS_GCF_018433835	Halobacteriota	Methanomicrobia	Methanoculleus sp018433835
RS_GCF_913757945	Halobacteriota	Methanomicrobia	Methanoculleus sp019136335
RS_GCF_020696995	Halobacteriota	Methanomicrobia	Methanoculleus sp020696975
GB_GCA_022837745	Halobacteriota	Methanomicrobia	Methanoculleus sp022837745
RS_GCF_023195915	Halobacteriota	Methanomicrobia	Methanoculleus sp023195915
GB_GCA_023393455	Halobacteriota	Methanomicrobia	Methanoculleus sp023393455
GB_GCA_023436625	Halobacteriota	Methanomicrobia	Methanoculleus sp023436625
GB_GCA_023457135	Halobacteriota	Methanomicrobia	Methanoculleus sp023457135
RS_GCF_030019085	Halobacteriota	Methanomicrobia	Methanoculleus sp030019085
GB_GCA_030156165	Halobacteriota	Methanomicrobia	Methanoculleus sp030156625
GB_GCA_030446015	Halobacteriota	Methanomicrobia	Methanoculleus sp030446015
RS_GCF_036677455	Halobacteriota	Methanomicrobia	Methanoculleus sp036677455
GB_GCA_036794525	Halobacteriota	Methanomicrobia	Methanoculleus sp036794525
GB_GCA_029778815	Halobacteriota	Methanomicrobia	Methanoculleus thermohydrogenotrophicum
RS_GCF_900101055	Halobacteriota	Methanomicrobia	Methanoculleus thermophilus
GB_GCA_004347975	Korarchaeota	Korarchaeia	Methanodesulfokores washburnensis
GB_GCA_001587575	Methanobacteriota_B	Thermococci	Methanofastidiosum sp001587575
GB_GCA_035373565	Methanobacteriota_B	Thermococci	Methanofastidiosum sp001587595
GB_GCA_012797645	Methanobacteriota_B	Thermococci	Methanofastidiosum sp001587675
GB_GCA_001587715	Methanobacteriota_B	Thermococci	Methanofastidiosum sp001587715
GB_GCA_003558335	Methanobacteriota_B	Thermococci	Methanofastidiosum sp003558335
GB_GCA_040771805	Methanobacteriota_B	Thermococci	Methanofastidiosum sp012799835
GB_GCA_013178285	Methanobacteriota_B	Thermococci	Methanofastidiosum sp013178285
GB_GCA_020854815	Methanobacteriota_B	Thermococci	Methanofastidiosum sp020854815
GB_GCA_035358455	Methanobacteriota_B	Thermococci	Methanofastidiosum sp023622545
GB_GCA_035362715	Methanobacteriota_B	Thermococci	Methanofastidiosum sp035362715
GB_GCA_039679445	Methanobacteriota_B	Thermococci	Methanofastidiosum sp039679445
GB_GCA_034066125	Methanobacteriota_B	Thermococci	Methanofastidiosum sp041678455
RS_GCF_004310395	Methanobacteriota	Methanococci	Methanofervidicoccus abyssi
RS_GCF_000017185	Methanobacteriota	Methanococci	Methanofervidicoccus aeolicus
RS_GCF_000179575	Methanobacteriota	Methanococci	Methanofervidicoccus okinawensis
GB_GCA_015662355	Methanobacteriota	Methanococci	Methanofervidicoccus okinawensis_A
GB_GCA_015661555	Methanobacteriota	Methanococci	Methanofervidicoccus okinawensis_B
RS_GCF_003351865	Methanobacteriota	Methanococci	Methanofervidicoccus sp003351865
GB_GCA_027074775	Methanobacteriota	Methanococci	Methanofervidicoccus sp015523155
RS_GCF_001639295	Methanobacteriota	Methanobacteria	Methanoflexus curvatus
RS_GCF_017357525	Halobacteriota	Methanomicrobia	Methanofollis aquaemaris
RS_GCF_001571385	Halobacteriota	Methanomicrobia	Methanofollis ethanolicus
RS_GCF_004297185	Halobacteriota	Methanomicrobia	Methanofollis fontis
RS_GCF_019633745	Halobacteriota	Methanomicrobia	Methanofollis formosanus
RS_GCF_000275865	Halobacteriota	Methanomicrobia	Methanofollis liminatans
RS_GCF_002498315	Halobacteriota	Methanomicrobia	Methanofollis sp002498315
RS_GCF_017875325	Halobacteriota	Methanomicrobia	Methanofollis sp017875325
RS_GCF_028702905	Halobacteriota	Methanomicrobia	Methanofollis sp028702905
RS_GCF_937919355	Halobacteriota	Methanomicrobia	Methanofollis sp937919355
RS_GCF_013377755	Halobacteriota	Methanomicrobia	Methanofollis tationis
GB_GCA_003194445	Halobacteriota	Methanosarcinia	Methanogaster_A sp003194445
GB_GCA_030604085	Halobacteriota	Methanosarcinia	Methanogaster_A sp030604085
GB_GCA_028571765	Halobacteriota	Methanosarcinia	Methanogaster_A sp030606635
GB_GCA_029934375	Halobacteriota	Methanosarcinia	Methanogaster_B sp003601535
GB_GCA_030605805	Halobacteriota	Methanosarcinia	Methanogaster_D sp030605805
RS_GCF_026684035	Halobacteriota	Methanomicrobia	Methanogenium organophilum
RS_GCF_009914725	Halobacteriota	Methanomicrobia	Methanogenium sp009914725
RS_GCF_029633965	Halobacteriota	Methanomicrobia	Methanogenium sp029633965
GB_GCA_030595665	Halobacteriota	Methanomicrobia	Methanogenium sp030595665
GB_GCA_019262145	Thermoplasmatota	Thermoplasmata	Methanogranum gryphiswaldense
GB_GCA_036838305	Thermoplasmatota	Thermoplasmata	Methanogranum sp002506905
GB_GCA_963665795	Thermoplasmatota	Thermoplasmata	Methanogranum sp963676045
GB_GCA_001914405	Halobacteriota	Methanonatronarchaeia	Methanohalarchaeum thermophilum
RS_GCF_000196655	Halobacteriota	Methanosarcinia	Methanohalobium evestigatum
RS_GCF_018609725	Halobacteriota	Methanosarcinia	Methanohalobium sp018609725
RS_GCF_004104135	Halobacteriota	Methanosarcinia	Methanohalophilus euhalobius
RS_GCF_001889405	Halobacteriota	Methanosarcinia	Methanohalophilus halophilus
RS_GCF_017874375	Halobacteriota	Methanosarcinia	Methanohalophilus levihalophilus
RS_GCF_000025865	Halobacteriota	Methanosarcinia	Methanohalophilus mahii
RS_GCF_002761295	Halobacteriota	Methanosarcinia	Methanohalophilus portucalensis
RS_GCF_003722075	Halobacteriota	Methanosarcinia	Methanohalophilus sp003722075
RS_GCF_030156785	Halobacteriota	Methanosarcinia	Methanohalophilus sp030156785
RS_GCF_000784355	Halobacteriota	Methanomicrobia	Methanolacinia paynteri
RS_GCF_000147875	Halobacteriota	Methanomicrobia	Methanolacinia petrolearia
GB_GCA_002067095	Halobacteriota	Methanomicrobia	Methanolinea_A sp002067095
GB_GCA_018263335	Halobacteriota	Methanomicrobia	Methanolinea_A sp002067155
GB_GCA_002499825	Halobacteriota	Methanomicrobia	Methanolinea_A sp002506105
GB_GCA_034679845	Halobacteriota	Methanomicrobia	Methanolinea_A sp018262855
GB_GCA_024518585	Halobacteriota	Methanomicrobia	Methanolinea_A sp024518585
GB_GCA_025453675	Halobacteriota	Methanomicrobia	Methanolinea_A sp025453675
GB_GCA_029547605	Halobacteriota	Methanomicrobia	Methanolinea_A sp029547605
GB_GCA_035374185	Halobacteriota	Methanomicrobia	Methanolinea_A sp030019395
GB_GCA_030055515	Halobacteriota	Methanomicrobia	Methanolinea_A sp030055515
GB_GCA_033813295	Halobacteriota	Methanomicrobia	Methanolinea_A sp033813295
GB_GCA_002067115	Halobacteriota	Methanomicrobia	Methanolinea_A sp11423u
RS_GCF_017873855	Halobacteriota	Methanomicrobia	Methanolinea_B mesophila
GB_GCA_004212085	Halobacteriota	Methanoliparia	Methanolliviera hydrocarbonicum
GB_GCA_902158745	Halobacteriota	Methanoliparia	Methanolliviera sp902158745
RS_GCF_017873415	Halobacteriota	Methanosarcinia	Methanolobus bombayensis
RS_GCF_024500045	Halobacteriota	Methanosarcinia	Methanolobus chelungpuianus
RS_GCF_004745425	Halobacteriota	Methanosarcinia	Methanolobus halotolerans
RS_GCF_031312535	Halobacteriota	Methanosarcinia	Methanolobus mangrovi
RS_GCF_900114835	Halobacteriota	Methanosarcinia	Methanolobus profundi
GB_GCA_000306725	Halobacteriota	Methanosarcinia	Methanolobus psychrophilus
RS_GCF_002243045	Halobacteriota	Methanosarcinia	Methanolobus psychrotolerans
RS_GCF_031312595	Halobacteriota	Methanosarcinia	Methanolobus sediminis
GB_GCA_002501695	Halobacteriota	Methanosarcinia	Methanolobus sp002501695
GB_GCA_002507205	Halobacteriota	Methanosarcinia	Methanolobus sp002507205
GB_GCA_003559435	Halobacteriota	Methanosarcinia	Methanolobus sp003565715
RS_GCF_016278365	Halobacteriota	Methanosarcinia	Methanolobus sp016278365
RS_GCF_016278385	Halobacteriota	Methanosarcinia	Methanolobus sp016278385
GB_GCA_016932675	Halobacteriota	Methanosarcinia	Methanolobus sp016932675
GB_GCA_020055655	Halobacteriota	Methanosarcinia	Methanolobus sp020055655
GB_GCA_021767785	Halobacteriota	Methanosarcinia	Methanolobus sp021767785
GB_GCA_029762595	Halobacteriota	Methanosarcinia	Methanolobus sp029762595
GB_GCA_030446185	Halobacteriota	Methanosarcinia	Methanolobus sp030154025
RS_GCF_030682845	Halobacteriota	Methanosarcinia	Methanolobus sp030682845
GB_GCA_033549165	Halobacteriota	Methanosarcinia	Methanolobus sp033549165
GB_GCA_034008115	Halobacteriota	Methanosarcinia	Methanolobus sp034008115
RS_GCF_038022665	Halobacteriota	Methanosarcinia	Methanolobus sp038022665
RS_GCF_038446525	Halobacteriota	Methanosarcinia	Methanolobus sp038446525
RS_GCF_963665675	Halobacteriota	Methanosarcinia	Methanolobus sp963665675
RS_GCF_963667555	Halobacteriota	Methanosarcinia	Methanolobus sp963667555
GB_GCA_963675495	Halobacteriota	Methanosarcinia	Methanolobus sp963675495
RS_GCF_000504205	Halobacteriota	Methanosarcinia	Methanolobus tindarius
RS_GCF_900100715	Halobacteriota	Methanosarcinia	Methanolobus vulcani
RS_GCF_006546655	Halobacteriota	Methanosarcinia	Methanolobus vulcani_A
RS_GCF_013388255	Halobacteriota	Methanosarcinia	Methanolobus zinderi
GB_GCA_028571965	Halobacteriota	Methanosarcinia	Methanomarinus sp002926195
GB_GCA_021108405	Halobacteriota	Methanosarcinia	Methanomarinus sp021108405
RS_GCF_000404225	Thermoplasmatota	Thermoplasmata	Methanomassiliicoccus_A intestinalis
GB_GCA_937965765	Thermoplasmatota	Thermoplasmata	Methanomassiliicoccus_A sp905202485
GB_GCA_938048195	Thermoplasmatota	Thermoplasmata	Methanomassiliicoccus_A sp905203995
GB_GCA_944319735	Thermoplasmatota	Thermoplasmata	Methanomassiliicoccus_A sp944319735
RS_GCF_000308215	Thermoplasmatota	Thermoplasmata	Methanomassiliicoccus luminyensis
GB_GCA_001717035	Thermoproteota	Methanomethylicia	Methanomethylicus mesodigestus
GB_GCA_001717025	Thermoproteota	Methanomethylicia	Methanomethylicus oleisabuli
RS_GCF_000300255	Thermoplasmatota	Thermoplasmata	Methanomethylophilus alvi
GB_GCA_000350305	Thermoplasmatota	Thermoplasmata	Methanomethylophilus sp000350305
GB_GCA_030168595	Thermoplasmatota	Thermoplasmata	Methanomethylophilus sp001481295
GB_GCA_001560915	Thermoplasmatota	Thermoplasmata	Methanomethylophilus sp001560915
GB_GCA_937916545	Thermoplasmatota	Thermoplasmata	Methanomethylophilus sp002495325
GB_GCA_015063225	Thermoplasmatota	Thermoplasmata	Methanomethylophilus sp015063225
GB_GCA_902763685	Thermoplasmatota	Thermoplasmata	Methanomethylophilus sp902763685
GB_GCA_963627635	Thermoplasmatota	Thermoplasmata	Methanomethylophilus sp963591575
GB_GCA_963634695	Thermoplasmatota	Thermoplasmata	Methanomethylophilus sp963631655
GB_GCA_963635855	Thermoplasmatota	Thermoplasmata	Methanomethylophilus sp963635855
GB_GCA_963643445	Thermoplasmatota	Thermoplasmata	Methanomethylophilus sp963643445
GB_GCA_963646785	Thermoplasmatota	Thermoplasmata	Methanomethylophilus sp963646785
RS_GCF_000328665	Halobacteriota	Methanosarcinia	Methanomethylovorans hollandica
RS_GCF_018434035	Halobacteriota	Methanosarcinia	Methanomethylovorans sp001896725
RS_GCF_937930185	Halobacteriota	Methanosarcinia	Methanomethylovorans sp002067275
GB_GCA_002508425	Halobacteriota	Methanosarcinia	Methanomethylovorans sp002508425
GB_GCA_014361205	Halobacteriota	Methanosarcinia	Methanomethylovorans sp014361205
RS_GCF_041305605	Halobacteriota	Methanosarcinia	Methanomethylovorans sp041305605
RS_GCF_041447285	Halobacteriota	Methanosarcinia	Methanomethylovorans sp041447285
RS_GCF_036802725	Halobacteriota	Methanosarcinia	Methanomethylovorans sp937968035
RS_GCF_963678545	Halobacteriota	Methanosarcinia	Methanomethylovorans sp963678545
RS_GCF_029633915	Halobacteriota	Methanomicrobia	Methanomicrobium antiquum
GB_GCA_016291305	Halobacteriota	Methanomicrobia	Methanomicrobium mobile
GB_GCA_016937345	Halobacteriota	Methanomicrobia	Methanomicrobium sp016937345
RS_GCF_017875315	Halobacteriota	Methanomicrobia	Methanomicrobium sp017875315
GB_GCA_023396365	Halobacteriota	Methanomicrobia	Methanomicrobium sp023396365
RS_GCF_032878975	Halobacteriota	Methanomicrobia	Methanomicrobium sp032878975
GB_GCA_009780575	Thermoplasmatota	Thermoplasmata	Methanomicula labiotermitis
GB_GCA_009776695	Thermoplasmatota	Thermoplasmata	Methanomicula sp009776695
RS_GCF_023016325	Halobacteriota	Methanonatronarchaeia	Methanonatronarchaeum sp004212035
RS_GCF_029854155	Halobacteriota	Methanonatronarchaeia	Methanonatronarchaeum sp029854155
RS_GCF_002153915	Halobacteriota	Methanonatronarchaeia	Methanonatronarchaeum thermophilum
RS_GCF_021023085	Halobacteriota	Methanocellia	Methanooceanicella nereidis
GB_GCA_002839545	Halobacteriota	Methanosarcinia	Methanoperedens_A sp002839545
GB_GCA_033549205	Halobacteriota	Methanosarcinia	Methanoperedens_A sp014859785
GB_GCA_030069165	Halobacteriota	Methanosarcinia	Methanoperedens nitroreducens
GB_GCA_019912155	Halobacteriota	Methanosarcinia	Methanoperedens sp002487355
GB_GCA_003104905	Halobacteriota	Methanosarcinia	Methanoperedens sp003104905
GB_GCA_012026795	Halobacteriota	Methanosarcinia	Methanoperedens sp012026795
GB_GCA_012026835	Halobacteriota	Methanosarcinia	Methanoperedens sp012026835
GB_GCA_021409285	Halobacteriota	Methanosarcinia	Methanoperedens sp021409285
GB_GCA_023249105	Halobacteriota	Methanosarcinia	Methanoperedens sp023249105
GB_GCA_023249275	Halobacteriota	Methanosarcinia	Methanoperedens sp023249275
GB_GCA_026552955	Halobacteriota	Methanosarcinia	Methanoperedens sp026552955
GB_GCA_026552975	Halobacteriota	Methanosarcinia	Methanoperedens sp026552975
GB_GCA_027460465	Halobacteriota	Methanosarcinia	Methanoperedens sp027460465
GB_GCA_027460525	Halobacteriota	Methanosarcinia	Methanoperedens sp027460525
GB_GCA_027460495	Halobacteriota	Methanosarcinia	Methanoperedens sp027460535
GB_GCA_028715885	Halobacteriota	Methanosarcinia	Methanoperedens sp028715885
GB_GCA_028717345	Halobacteriota	Methanosarcinia	Methanoperedens sp028717345
GB_GCA_030650845	Halobacteriota	Methanosarcinia	Methanoperedens sp030650845
GB_GCA_036567605	Halobacteriota	Methanosarcinia	Methanoperedens sp036567605
GB_GCA_041491305	Halobacteriota	Methanosarcinia	Methanoperedens sp041491305
GB_GCA_041494705	Halobacteriota	Methanosarcinia	Methanoperedens sp041494705
GB_GCA_041648475	Halobacteriota	Methanosarcinia	Methanoperedens sp041648475
GB_GCA_902384525	Halobacteriota	Methanosarcinia	Methanoperedens sp902384525
GB_GCA_902386135	Halobacteriota	Methanosarcinia	Methanoperedens sp902386135
GB_GCA_902386205	Halobacteriota	Methanosarcinia	Methanoperedens sp902386205
GB_GCA_902386255	Halobacteriota	Methanosarcinia	Methanoperedens sp902386255
RS_GCF_024662215	Halobacteriota	Methanomicrobia	Methanoplanus endosymbiosus
RS_GCF_000243255	Halobacteriota	Methanomicrobia	Methanoplanus limicola
GB_GCA_009777615	Thermoplasmatota	Thermoplasmata	Methanoplasma cognatum
GB_GCA_031267895	Thermoplasmatota	Thermoplasmata	Methanoplasma glyptotermitis
GB_GCA_031290095	Thermoplasmatota	Thermoplasmata	Methanoplasma porotermitis
GB_GCA_009778575	Thermoplasmatota	Thermoplasmata	Methanoplasma sp009778575
GB_GCA_023402275	Thermoplasmatota	Thermoplasmata	Methanoplasma sp023402275
RS_GCF_000800805	Thermoplasmatota	Thermoplasmata	Methanoplasma termitum
GB_GCA_934155295	Thermoplasmatota	Thermoplasmata	Methanoprimaticola hominis
GB_GCA_001563305	Thermoplasmatota	Thermoplasmata	Methanoprimaticola sp001563305
GB_GCA_002504405	Thermoplasmatota	Thermoplasmata	Methanoprimaticola sp002504405
GB_GCA_934140855	Thermoplasmatota	Thermoplasmata	Methanoprimaticola sp002504495
GB_GCA_002494805	Thermoplasmatota	Thermoplasmata	Methanoprimaticola sp002506425
GB_GCA_944320375	Thermoplasmatota	Thermoplasmata	Methanoprimaticola sp006954425
GB_GCA_015063125	Thermoplasmatota	Thermoplasmata	Methanoprimaticola sp015063125
GB_GCA_015063165	Thermoplasmatota	Thermoplasmata	Methanoprimaticola sp015063165
GB_GCA_015063245	Thermoplasmatota	Thermoplasmata	Methanoprimaticola sp015063245
GB_GCA_015063285	Thermoplasmatota	Thermoplasmata	Methanoprimaticola sp015063285
GB_GCA_016284295	Thermoplasmatota	Thermoplasmata	Methanoprimaticola sp016284295
GB_GCA_017461225	Thermoplasmatota	Thermoplasmata	Methanoprimaticola sp017461225
GB_GCA_017468935	Thermoplasmatota	Thermoplasmata	Methanoprimaticola sp017468935
GB_GCA_017519045	Thermoplasmatota	Thermoplasmata	Methanoprimaticola sp017519045
GB_GCA_017524805	Thermoplasmatota	Thermoplasmata	Methanoprimaticola sp017524805
GB_GCA_017540825	Thermoplasmatota	Thermoplasmata	Methanoprimaticola sp017540825
GB_GCA_017935945	Thermoplasmatota	Thermoplasmata	Methanoprimaticola sp017935945
GB_GCA_944320205	Thermoplasmatota	Thermoplasmata	Methanoprimaticola sp905187815
GB_GCA_934234005	Thermoplasmatota	Thermoplasmata	Methanoprimaticola sp934234005
GB_GCA_934702355	Thermoplasmatota	Thermoplasmata	Methanoprimaticola sp934702355
GB_GCA_949291795	Thermoplasmatota	Thermoplasmata	Methanoprimaticola sp944320485
GB_GCA_944320495	Thermoplasmatota	Thermoplasmata	Methanoprimaticola sp944320495
GB_GCA_944322255	Thermoplasmatota	Thermoplasmata	Methanoprimaticola sp944322255
GB_GCA_959607685	Thermoplasmatota	Thermoplasmata	Methanoprimaticola sp945492685
GB_GCA_949295765	Thermoplasmatota	Thermoplasmata	Methanoprimaticola sp949295765
GB_GCA_959597175	Thermoplasmatota	Thermoplasmata	Methanoprimaticola sp959597175
GB_GCA_963586845	Thermoplasmatota	Thermoplasmata	Methanoprimaticola sp963586845
GB_GCA_963617815	Thermoplasmatota	Thermoplasmata	Methanoprimaticola sp963605395
GB_GCA_963637895	Thermoplasmatota	Thermoplasmata	Methanoprimaticola sp963637895
GB_GCA_963607185	Thermoplasmatota	Thermoplasmata	Methanoprimaticola sp963640995
GB_GCA_963645865	Thermoplasmatota	Thermoplasmata	Methanoprimaticola sp963645865
GB_GCA_963650175	Thermoplasmatota	Thermoplasmata	Methanoprimaticola sp963650175
GB_GCA_963656905	Thermoplasmatota	Thermoplasmata	Methanoprimaticola sp963656905
RS_GCF_000007185	Methanobacteriota	Methanopyri	Methanopyrus kandleri
RS_GCF_002201895	Methanobacteriota	Methanopyri	Methanopyrus sp002201895
GB_GCA_027067375	Methanobacteriota	Methanopyri	Methanopyrus sp013154335
GB_GCA_027064425	Methanobacteriota	Methanopyri	Methanopyrus sp027064425
RS_GCF_000017625	Halobacteriota	Methanomicrobia	Methanoregula boonei
RS_GCF_000327485	Halobacteriota	Methanomicrobia	Methanoregula formicica
RS_GCF_002067035	Halobacteriota	Methanomicrobia	Methanoregula sp002067035
GB_GCA_002495055	Halobacteriota	Methanomicrobia	Methanoregula sp002495055
GB_GCA_002506785	Halobacteriota	Methanomicrobia	Methanoregula sp002502245
RS_GCF_002502735	Halobacteriota	Methanomicrobia	Methanoregula sp002502735
RS_GCF_002835825	Halobacteriota	Methanomicrobia	Methanoregula sp002835825
GB_GCA_002839605	Halobacteriota	Methanomicrobia	Methanoregula sp002839605
GB_GCA_002839675	Halobacteriota	Methanomicrobia	Methanoregula sp002839675
GB_GCA_003141335	Halobacteriota	Methanomicrobia	Methanoregula sp003141335
RS_GCF_003170075	Halobacteriota	Methanomicrobia	Methanoregula sp003170075
GB_GCA_015660885	Halobacteriota	Methanomicrobia	Methanoregula sp015660885
